cep;endereco;id_bairro;id_cidade;id_estado;id_regiao;tipo;logradouro;latitude;longitude;ativo
11772052;Rua Madeira;54819;54;26;4;"";Rua Madeira;0.00000000;0.00000000;true
11777276;Rua Treze;54834;54;26;4;"";Rua Treze;0.00000000;0.00000000;true
11783466;Rua Inês Rosa de Aquino Costa;54839;54;26;4;"";Rua Inês Rosa de Aquino Costa;0.00000000;0.00000000;true
11784348;Rua Quatro;54879;54;26;4;"";Rua Quatro;0.00000000;0.00000000;true
11775026;Rua Eniuto Simoa da Silva;54837;54;26;4;"";Rua Eniuto Simoa da Silva;0.00000000;0.00000000;true
11775628;Rua Tanigua;54871;54;26;4;"";Rua Tanigua;0.00000000;0.00000000;true
11775556;Rua Sodalita;54861;54;26;4;"";Rua Sodalita;0.00000000;0.00000000;true
11771430;Rua Aparecido Alipio Cornea;54872;54;26;4;"";Rua Aparecido Alipio Cornea;0.00000000;0.00000000;true
11784176;Rua das Calêndulas;54862;54;26;4;"";Rua das Calêndulas;0.00000000;0.00000000;true
11773120;Viela dos Manacás;54868;54;26;4;"";Viela dos Manacás;0.00000000;0.00000000;true
11783482;Rua Madalena Ataulo;54839;54;26;4;"";Rua Madalena Ataulo;0.00000000;0.00000000;true
11770422;Avenida São Paulo;54823;54;26;4;"";Avenida São Paulo;0.00000000;0.00000000;true
11770808;Rua Doutor Aurelio Campos;54880;54;26;4;"";Rua Doutor Aurelio Campos;0.00000000;0.00000000;true
11782516;Rua Um;54831;54;26;4;"";Rua Um;0.00000000;0.00000000;true
11773554;Rua Vinte e Sete;54848;54;26;4;"";Rua Vinte e Sete;0.00000000;0.00000000;true
11773534;Rua Dezessete;54848;54;26;4;"";Rua Dezessete;0.00000000;0.00000000;true
11776610;Avenida Treze;54881;54;26;4;"";Avenida Treze;0.00000000;0.00000000;true
11770378;Rua Acre;54847;54;26;4;"";Rua Acre;0.00000000;0.00000000;true
11770370;Rua Pará;54847;54;26;4;"";Rua Pará;0.00000000;0.00000000;true
11783550;Viela Dois;54839;54;26;4;"";Viela Dois;0.00000000;0.00000000;true
11770628;Rua Sálvia;54876;54;26;4;"";Rua Sálvia;0.00000000;0.00000000;true
11770448;Rua Cuiabá;54823;54;26;4;"";Rua Cuiabá;0.00000000;0.00000000;true
11783134;Rua Esmael Francisco dos Santos;54820;54;26;4;"";Rua Esmael Francisco dos Santos;0.00000000;0.00000000;true
11772704;Rua Cuba;54827;54;26;4;"";Rua Cuba;0.00000000;0.00000000;true
11783538;Rua João Gomes dos Santos;54839;54;26;4;"";Rua João Gomes dos Santos;0.00000000;0.00000000;true
11774312;Avenida Três Marias;54882;54;26;4;"";Avenida Três Marias;0.00000000;0.00000000;true
11777478;Rua Aurora;54878;54;26;4;"";Rua Aurora;0.00000000;0.00000000;true
11772562;Rua Girassol;54883;54;26;4;"";Rua Girassol;0.00000000;0.00000000;true
11782580;Rua Cinquenta e Seis;54831;54;26;4;"";Rua Cinquenta e Seis;0.00000000;0.00000000;true
11773758;Rua Seis;54845;54;26;4;"";Rua Seis;0.00000000;0.00000000;true
11785134;Rua Andréy da Silva Conceição;54828;54;26;4;"";Rua Andréy da Silva Conceição;0.00000000;0.00000000;true
11777188;Rua Três;54884;54;26;4;"";Rua Três;0.00000000;0.00000000;true
11774122;Rua Dezesseis;54855;54;26;4;"";Rua Dezesseis;0.00000000;0.00000000;true
11770558;Rua Taquari;54838;54;26;4;"";Rua Taquari;0.00000000;0.00000000;true
11771426;Rua Moises Pereira de Alencar;54872;54;26;4;"";Rua Moises Pereira de Alencar;0.00000000;0.00000000;true
11773296;Estrada da Barreira;54885;54;26;4;"";Estrada da Barreira;0.00000000;0.00000000;true
11771132;Rua Dez;54852;54;26;4;"";Rua Dez;0.00000000;0.00000000;true
11773864;Rua Francisco Ferreira Silva;54849;54;26;4;"";Rua Francisco Ferreira Silva;0.00000000;0.00000000;true
11784198;Rua das Caliandras;54862;54;26;4;"";Rua das Caliandras;0.00000000;0.00000000;true
11773286;Rua das Palmeiras;54885;54;26;4;"";Rua das Palmeiras;0.00000000;0.00000000;true
11776704;Rua Doze;54824;54;26;4;"";Rua Doze;0.00000000;0.00000000;true
11776870;Rua Vereador José Antonio de Góes;54886;54;26;4;"";Rua Vereador José Antonio de Góes;0.00000000;0.00000000;true
11771650;Avenida Doutor Tancredo de Almeida Neves;54887;54;26;4;"";Avenida Doutor Tancredo de Almeida Neves;0.00000000;0.00000000;true
11783784;Rua Três;54888;54;26;4;"";Rua Três;0.00000000;0.00000000;true
11771142;Rua Quinze;54852;54;26;4;"";Rua Quinze;0.00000000;0.00000000;true
11774414;Rua Três;54846;54;26;4;"";Rua Três;0.00000000;0.00000000;true
11771404;Avenida Luciano de Bona;54872;54;26;4;"";Avenida Luciano de Bona;0.00000000;0.00000000;true
11783300;Rua Peroba Rosa;54830;54;26;4;"";Rua Peroba Rosa;0.00000000;0.00000000;true
11775346;Rua João Assis Neves;54889;54;26;4;"";Rua João Assis Neves;0.00000000;0.00000000;true
11772336;Rua São Carlos;54863;54;26;4;"";Rua São Carlos;0.00000000;0.00000000;true
11771466;Rua Professor José Augusto Silva;54858;54;26;4;"";Rua Professor José Augusto Silva;0.00000000;0.00000000;true
11772038;Avenida Dom Pedro II;54819;54;26;4;"";Avenida Dom Pedro II;0.00000000;0.00000000;true
11772596;Rua Valentim Contesini;54890;54;26;4;"";Rua Valentim Contesini;0.00000000;0.00000000;true
11784162;Rua Odilo Lourenço Fernandes;54862;54;26;4;"";Rua Odilo Lourenço Fernandes;0.00000000;0.00000000;true
