id;cidade;id_estado;latitude;longitude;cod_ibge;cod_ddd;area_km
4790;Palhoça;24;-27.83869000;-48.59210000;4211900;48;395.13
4791;Santo Amaro da Imperatriz;24;-27.68450000;-48.77460000;4215703;48;344.05
4792;Águas Mornas;24;-27.69783000;-48.81848000;4200606;48;327.36
4793;Biguaçu;24;-27.50720000;-48.64316000;4202305;48;367.89
4794;Antônio Carlos;24;-27.51723000;-48.76795000;4201208;48;233.57
4795;Governador Celso Ramos;24;-27.33674000;-48.54550000;4206009;48;117.19
4796;Tijucas;24;-27.24139000;-48.63560000;4218004;48;279.58
4797;Porto Belo;24;-27.15432000;-48.54125000;4213500;47;92.41
4798;Bombinhas;24;-27.18150000;-48.52058000;4202453;47;35.92
4799;Itapema;24;-27.09095000;-48.61239000;4208302;47;57.80
4800;Canelinha;24;-27.26555000;-48.76789000;4203709;48;152.56
4801;São João Batista;24;-27.27675000;-48.84983000;4216305;48;200.58
4802;Major Gercino;24;-27.41769000;-48.95279000;4210209;48;306.18
4803;Nova Trento;24;-27.28611000;-48.92927000;4211504;48;402.89
4804;Botuverá;24;-27.19527920;-49.07181130;4202701;47;296.19
4805;Itajaí;24;-26.94511000;-48.71072000;4208203;47;288.29
4806;Ilhota;24;-26.87852910;-48.84127450;4207106;47;252.88
4807;Balneário Camboriú;24;-26.97305000;-48.63492000;4202008;47;46.24
4808;Camboriú;24;-27.03235000;-48.65820000;4203204;47;212.32
4809;Guabiruba;24;-27.08477000;-48.98737000;4206306;47;174.68
4810;Navegantes;24;-26.81294000;-48.75215000;4211306;47;112.03
4811;Balneário Piçarras;24;-26.75879000;-48.68806000;4212809;47;99.42
4812;Penha;24;-26.77441860;-48.64368960;4212502;47;58.75
4813;Barra Velha;24;-26.62994000;-48.68334000;4202107;47;140.35
4814;São João do Itaperiú;24;-26.61379000;-48.76593000;4216354;47;151.42
4815;Ituporanga;24;-27.42398000;-49.60122000;4208500;47;336.93
4816;Chapadão do Lageado;24;-27.58307000;-49.54313000;4204194;47;124.76
4817;Atalanta;24;-27.42014000;-49.78280000;4201802;47;94.19
4818;Agrolândia;24;-27.41080000;-49.82941000;4200200;47;207.55
4819;Petrolândia;24;-27.53313000;-49.69790000;4212700;47;305.87
4820;Imbuia;24;-27.49472000;-49.41706000;4207403;47;123.04
4821;Vidal Ramos;24;-27.39304000;-49.36368000;4219200;47;342.89
4822;Leoberto Leal;24;-27.50621000;-49.28974000;4209805;48;291.21
4823;Alfredo Wagner;24;-27.70110000;-49.33405000;4200705;48;732.77
4824;Angelina;24;-27.49637000;-48.99517000;4200903;48;500.04
4825;Rancho Queimado;24;-27.67326000;-49.01229000;4214300;48;286.29
4826;Anitápolis;24;-27.90215000;-49.12741000;4201109;48;542.12
4827;São Bonifácio;24;-27.90166000;-48.92989000;4215901;48;460.36
4828;Paulo Lopes;24;-27.96458000;-48.68355000;4212304;48;449.68
4829;Garopaba;24;-28.02788000;-48.62296000;4205704;48;115.41
4830;Lages;24;-27.78606000;-50.31119000;4209300;49;2631.50
4831;Correia Pinto;24;-27.58648000;-50.36588000;4204558;49;651.12
4832;Bocaína do Sul;24;-27.73971000;-49.94604000;4202438;49;512.85
4833;Otacílio Costa;24;-27.48856000;-50.11825000;4211751;49;845.01
4834;Painel;24;-27.92086000;-50.10331000;4211892;49;740.18
4835;Palmeira;24;-27.57932180;-50.15941160;4212056;49;289.30
4836;Capão Alto;24;-27.93860000;-50.51003000;4203253;49;1335.84
4837;Ponte Alta;24;-27.48380000;-50.37885000;4213302;49;399.24
4838;São José do Cerrito;24;-27.65908000;-50.58096000;4216800;49;944.92
4839;Campo Belo do Sul;24;-27.89854940;-50.75733710;4203402;49;1027.65
4840;Cerro Negro;24;-27.79615000;-50.87517000;4204178;49;417.34
4841;Anita Garibaldi;24;-27.68556000;-51.13089000;4201000;49;587.92
4842;Celso Ramos;24;-27.63323000;-51.33727000;4204152;49;117.19
4843;São Joaquim;24;-28.29210000;-49.93417000;4216503;49;1892.26
4844;Urupema;24;-27.95667000;-49.87463000;4218954;49;350.04
4845;Bom Jardim da Serra;24;-28.34033000;-49.62457000;4202503;49;935.87
4846;Urubici;24;-28.00387000;-49.58882000;4218905;49;1017.64
4847;Rio Rufino;24;-27.86208000;-49.77944000;4215059;49;282.50
4848;Bom Retiro;24;-27.80227000;-49.49350000;4202602;49;1055.55
4849;Tubarão;24;-27.51475000;-48.66063000;4218707;48;301.76
4850;Treze de Maio;24;-28.55606000;-49.14501000;4218400;48;161.67
4851;Jaguaruna;24;-28.62240000;-49.01640000;4208807;48;328.35
4852;Sangão;24;-28.67012000;-49.10964000;4215455;48;82.89
4853;Pedras Grandes;24;-28.43603000;-49.18470000;4212403;48;159.31
4854;São Ludgero;24;-28.32900000;-49.18128000;4217006;48;107.66
4855;Gravatal;24;-28.33181000;-49.03493000;4206207;48;164.75
4856;Armazém;24;-28.26029000;-49.01591000;4201505;48;173.58
4857;Capivari de Baixo;24;-28.44463000;-48.95410000;4203956;48;53.34
4858;Braço do Norte;24;-28.27529000;-49.16685000;4202800;48;211.86
4859;Rio Fortuna;24;-28.13980000;-49.11558000;4214904;48;302.87
4860;Santa Rosa de Lima;24;-28.03962000;-49.12582000;4215604;48;202.00
4861;São Martinho;24;-28.11294070;-48.92048760;4217105;48;223.89
4862;Imaruí;24;-28.34487000;-48.81651000;4207205;48;542.63
4863;Imbituba;24;-28.10910000;-48.68129000;4207304;48;182.93
4864;Laguna;24;-28.48514000;-48.78205000;4209409;48;336.40
4865;Pescaria Brava;24;-28.39718000;-48.88687000;4212650;48;105.17
4866;Criciúma;24;-28.70066000;-49.35063000;4204608;48;235.70
4867;Içara;24;-28.71018000;-49.29745000;4207007;48;228.93
4868;Balneário Rincão;24;-28.82068000;-49.22034000;4220000;48;64.64
4869;Morro da Fumaça;24;-28.65179000;-49.20626000;4211207;48;83.12
4870;Urussanga;24;-28.53316000;-49.30182000;4219002;48;254.87
4871;Cocal do Sul;24;-28.59634000;-49.31914000;4204251;48;71.13
4872;Forquilhinha;24;-28.74819000;-49.47286000;4205456;48;183.13
4873;Siderópolis;24;-27.26321000;-51.55810000;4217600;48;261.66
4874;Treviso;24;-28.52414000;-49.45942000;4218350;48;157.08
4875;Nova Veneza;24;-28.70906000;-49.50549000;4211603;48;295.04
4876;Orleans;24;-28.35248000;-49.28974000;4211702;48;548.79
4877;Lauro Müller;24;-28.39601000;-49.39588000;4209607;48;270.78
4878;Grão Pará;24;-28.10728000;-49.29992000;4206108;48;338.16
