id;bairro;id_cidade;latitude;longitude
119;Vila Dorna;1;-23.44644000;-46.59374000
120;Jardim Sandra Maria;1;-23.44558000;-46.59198000
121;Vila Dona Augusta;1;-23.43524000;-46.58392000
122;Vila Virginia;1;-23.55202000;-46.65963000
123;Jardim Francisco Mentem;1;-23.44010000;-46.59140000
124;Jardim Martins Silva;1;-22.28834000;-48.56587000
125;Jardim Joana DArc;1;-23.43805000;-46.58458000
126;Jardim Cristina;1;-23.44320000;-46.58733000
127;Jardim Piqueri;1;-23.44434000;-46.58957000
128;Jardim Filhos da Terra;1;-23.46531000;-46.65661000
129;Jardim Apuana;1;-23.55783000;-46.65051000
130;Jardim Felicidade (Zona Norte);1;-23.56287000;-46.65468000
131;Jardim das Pedras;1;-23.41959000;-46.59063000
132;Jardim Portal I e II;1;-23.44009000;-46.57574000
133;Jardim Palmares (Zona Norte);1;-23.61624000;-46.43339000
134;Jardim Hebrom;1;-23.44758000;-46.57892000
135;Água Fria;1;-23.48283000;-46.62670000
136;Mandaqui;1;-23.48529000;-46.63346000
137;Vila Aurora (Zona Norte);1;-23.47521000;-46.62121000
138;Barro Branco (Zona Norte);1;-23.46672000;-46.60884000
139;Jardim Franca;1;-23.55175000;-46.84804000
140;Barro Branco;1;-23.58202000;-46.39134000
141;Vila São Geraldo;1;-23.51663000;-46.54449000
142;Vila Albertina;1;-23.45837940;-46.61732240
143;Jardim Leonor Mendes de Barros;1;-23.45988000;-46.60348000
144;Parque Palmas do Tremembé;1;-23.46212000;-46.60724000
145;Jardim das Rosas (Zona Norte);1;-23.45589000;-46.59239000
146;Bortolândia;1;-23.45439000;-46.59671000
147;Parque Ramos Freitas;1;-23.45242000;-46.60334000
148;Jardim Yara;1;-23.45676000;-46.60445000
149;Jardim Maria Nazaré;1;-23.45585000;-46.60326000
150;Jardim Virginia Bianca;1;-23.45391000;-46.61032000
151;Jardim Santo Alberto;1;-23.70489000;-46.62994000
152;Jardim Daysy;1;-23.44668000;-46.60785000
153;Jardim Ibiratiba;1;-23.94847000;-46.41577000
154;Jardim Fontalis;1;-23.48083000;-46.57312000
155;Associação Sobradinho;1;-23.43737000;-46.57973000
156;Jardim Campo Limpo (Zona Norte);1;-23.66458000;-46.52650000
157;Jardim Flor de Maio;1;-23.60668000;-46.64088000
158;Jardim Recanto Verde;1;-23.53773000;-46.75747000
159;Jardim da Cachoeira;1;-23.60175000;-46.51638000
160;Jardim Estrela Dalva;1;-23.79095000;-46.74066000
161;Jardim Uniserve;1;-23.43136000;-46.58093000
162;Jardim São João (Zona Norte);1;-23.43385000;-46.58329000
163;Jardim Corisco;1;-23.42959000;-46.58361000
164;Jardim Francisco Mendes;1;-23.57925000;-46.64414000
165;Jardim Vila Rica;1;-23.52276000;-46.62741000
166;Jardim Cruz do Corisco;1;-23.43323000;-46.59127000
167;Jardim Corisco Novo;1;-23.62208000;-46.81285000
168;Jardim Brasil Novo;1;-23.74735000;-46.77720000
169;Jardim Labitary;1;-23.44009200;-46.70582720
170;Jardim Valparaiso;1;-23.42574000;-46.58807000
171;Núcleo do Engordador;1;-23.41559000;-46.58330000
172;Jardim Bibi;1;-23.45246000;-46.61790000
173;Vila Irmãos Arnoni;1;-23.45604000;-46.62629000
174;Vila Marieta;1;-23.50743000;-46.65388000
175;Jardim Denyse;1;-23.51535000;-46.53021000
176;Cantareira;1;-23.53722980;-46.63330940
177;Vila Rosa;1;-23.45759000;-46.62844000
178;Horto Florestal;1;-23.45233000;-46.63122000
179;Jardim Denise;1;-23.62455000;-46.63521000
180;Horto;1;-23.45108000;-46.63642000
181;Vila Mariza Mazzei;1;-23.48384000;-46.63537000
182;Vila Vitório Mazzei;1;-23.47959000;-46.62479000
183;Imirim;1;-23.49566250;-46.64041440
184;Vila Romero;1;-23.48626000;-46.64663000
185;Parque Mandaqui;1;-23.47029000;-46.63632000
186;Jardim Carlu;1;-23.46737000;-46.63307000
187;Jardim Paraíso;1;-23.66632000;-46.77568000
188;Conjunto Residencial Santa Terezinha;1;-23.58928000;-46.49626000
189;Jardim Teresa Cristina;1;-23.47391000;-46.63613000
190;Jardim Ormendina;1;-23.47161000;-46.63134000
191;Conjunto dos Bancários;1;-23.47201000;-46.63858000
192;Jardim Santa Inês;1;-23.46993000;-46.63324000
193;Lauzane Paulista;1;-23.47539000;-46.64475000
194;Vila Basileia;1;-23.48182000;-46.64988000
195;Vila Nova Cachoeirinha;1;-23.47183000;-46.66077000
196;Jardim do Colégio (Zona Norte);1;-23.48764000;-46.63425000
197;Vila Guaca;1;-23.48443000;-46.63847000
198;Jardim Picolo;1;-23.47845000;-46.63474000
199;Vila Ester (Zona Norte);1;-23.49487000;-46.64624000
200;Chora Menino;1;-23.49214000;-46.64551000
201;Vila Celeste;1;-23.48397000;-46.66207000
202;Jardim Virginia;1;-23.56287000;-46.65468000
203;Vila Roque;1;-23.47722000;-46.65224000
204;Cachoeirinha;1;-23.47544000;-46.65686000
205;Vila Pita;1;-23.47847000;-46.66101000
206;Casa Verde Baixa;1;-23.51505000;-46.65296000
207;Casa Verde;1;-23.50696000;-46.65614000
208;Vila Baruel;1;-23.56287000;-46.65468000
209;Vila Espanhola;1;-23.53539000;-46.20164000
210;Jardim das Laranjeiras;1;-23.50890000;-46.66403000
211;Jardim Laranjeiras;1;-23.50776000;-46.66409000
212;Casa Verde Média;1;-23.50259000;-46.66288000
